"","date_time","value"
"251",2017-11-11 12:59:00,6382
"252",2017-11-11 13:04:00,6371.04
"253",2017-11-11 13:09:00,6328.49
"254",2017-11-11 13:14:00,6332.53
"255",2017-11-11 13:19:00,6339.34
"256",2017-11-11 13:24:00,6314.02
"257",2017-11-11 13:29:00,6286.64
"258",2017-11-11 13:34:00,6281.38
"259",2017-11-11 13:39:00,6396.96
"260",2017-11-11 13:44:00,6401.07
"261",2017-11-11 13:49:00,6403.1
"262",2017-11-11 13:54:00,6531.89
"263",2017-11-11 13:59:00,6451.12
"264",2017-11-11 14:04:00,6520.72
"265",2017-11-11 14:09:00,6495.66
"266",2017-11-11 14:14:00,6539.72
"267",2017-11-11 14:19:00,6422.54
"268",2017-11-11 14:24:00,6398.29
"269",2017-11-11 14:29:00,6498.65
"270",2017-11-11 14:34:00,6447.31
"271",2017-11-11 14:39:00,6464.38
"272",2017-11-11 14:44:00,6497.66
"273",2017-11-11 14:49:00,6425.85
"274",2017-11-11 14:54:00,6437.9
"275",2017-11-11 14:59:00,6402.4
"276",2017-11-11 15:04:00,6359.78
"277",2017-11-11 15:09:00,6445.74
"278",2017-11-11 15:14:00,6386.68
"279",2017-11-11 15:19:00,6365.95
"280",2017-11-11 15:24:00,6445.09
"281",2017-11-11 15:29:00,6441.99
"282",2017-11-11 15:34:00,6419.81
"283",2017-11-11 15:39:00,6420.6
"284",2017-11-11 15:44:00,6408.14
"285",2017-11-11 15:49:00,6359.13
"286",2017-11-11 15:54:00,6373.16
"287",2017-11-11 15:59:00,6389.05
"288",2017-11-11 16:04:00,6376.18
"289",2017-11-11 16:09:00,6444.26
"290",2017-11-11 16:14:00,6478.8
"291",2017-11-11 16:19:00,6416.38
"292",2017-11-11 16:24:00,6454.87
"293",2017-11-11 16:29:00,6458.32
"294",2017-11-11 16:34:00,6448.75
"295",2017-11-11 16:39:00,6402.39
"296",2017-11-11 16:44:00,6407.8
"297",2017-11-11 16:49:00,6474.76
"298",2017-11-11 16:54:00,6465.98
"299",2017-11-11 16:59:00,6442.66
"300",2017-11-11 17:04:00,6424.32
"301",2017-11-11 17:09:00,6397.8
